"seccion_censal","nac_87","nac_88","nac_89","nac_90","nac_91","nac_92","nac_93","nac_94","nac_95","nac_96","nac_97","nac_98","nac_99","nac_00","nac_01","nac_02","nac_03","nac_04","nac_05","nac_06","nac_07","nac_08","nac_09","nac_10","nac_11","nac_12","nac_13","nac_14","nac_15","nac_16","nac_17"
"76001100000000192101","6","5","9","3","6","5","10","8","5","5","2","6","6","5","2","6","3","2","2","2","1","2","2","4","5","2","1","0","0","4","3"
"76001100000000170702","6","6","8","5","4","4","10","8","8","11","17","12","11","12","6","1","9","1","6","1","7","2","6","0","5","3","2","8","8","8","6"
"76001100000000191503","6","6","9","10","12","11","10","5","14","8","9","9","9","5","11","6","7","9","7","2","6","2","4","1","5","5","2","4","6","0","2"
"76001100000000173603","6","7","6","11","12","9","4","9","7","5","6","3","8","10","2","2","1","1","3","4","1","1","4","0","3","1","3","1","5","3","2"
"76001100000000192502","6","7","7","4","3","6","6","5","10","4","11","8","3","2","1","3","6","3","2","3","4","0","2","3","5","2","2","5","2","3","4"
"76001100000000020804","6","8","8","4","4","6","6","3","3","2","6","1","4","2","3","1","5","1","4","3","1","2","0","0","2","1","0","0","0","2","1"
"76001100000000201401","6","8","8","10","7","10","10","5","13","13","10","11","5","15","16","11","14","8","13","14","15","13","13","8","18","17","18","23","25","21","15"
"76001100000000021301","6","8","9","10","10","12","12","10","15","20","8","13","8","4","11","7","5","8","6","9","4","9","1","4","4","7","8","7","8","2","9"
"76001100000000194002","6","11","9","13","5","12","10","8","10","14","5","7","4","6","5","3","6","3","8","0","0","3","4","1","2","4","3","3","2","5","2"
"76001100000000020603","6","13","14","16","13","11","5","12","4","7","7","8","8","5","4","6","8","3","5","2","6","3","2","5","4","4","4","3","1","6","3"
"76001100000000192001","5","3","1","8","4","3","5","8","2","4","2","9","3","3","5","2","0","10","3","0","2","2","3","3","1","2","2","2","1","1","2"
"76001100000000020802","5","3","4","6","5","6","5","5","2","4","5","0","3","3","0","3","0","0","2","0","1","2","1","0","0","2","1","1","0","1","2"
"76001100000000172601","5","3","5","4","11","3","10","6","7","6","10","6","4","1","2","4","3","8","2","0","3","3","4","3","5","2","0","3","4","4","4"
"76001100000000172502","5","4","10","11","10","10","5","6","5","1","4","2","6","6","3","5","3","1","1","3","2","4","3","4","2","2","3","3","4","1","4"
"76001100000000191801","5","6","6","7","8","10","10","8","8","6","4","7","7","3","4","2","2","5","2","1","4","1","2","1","2","2","3","4","1","3","2"
"76001100000000193101","5","8","6","12","15","14","8","12","11","11","3","14","8","4","4","4","6","7","6","6","3","6","3","3","3","4","0","2","3","4","2"
"76001100000000020902","5","9","6","8","5","6","4","3","1","5","8","5","2","2","2","2","3","2","3","2","1","3","7","2","1","4","0","3","1","3","0"
